,status existing account,duration,credit history,purpose,credit amount,savings,employment since,installment rate,sex,other debtors,residence since,property,age,installment plans,housing,num existing credits,job,no of pople liable,telephone,foreign worker,class,DecisionTreeClassifier,RandomForestClassifier,SVC,AdaBoostClassifier,KNeighborsClassifier,GaussianNB,XGBClassifier
578,A12,36,A34,A40,2820,A61,A72,4,male,A101,4,A123,27,A143,A152,2,A173,1,A191,A201,1,1,0,1,1,1,1,1
23,A12,12,A34,A41,1804,A62,A72,3,male,A101,4,A122,44,A143,A152,1,A173,1,A191,A201,0,0,0,0,0,0,0,0
30,A12,18,A32,A49,1913,A64,A72,3,male,A101,3,A121,36,A141,A152,1,A173,1,A192,A201,0,0,0,0,0,0,0,0
617,A11,6,A34,A40,3676,A61,A73,1,male,A101,3,A121,37,A143,A151,3,A173,2,A191,A201,0,0,0,0,0,0,0,0
10,A12,12,A32,A40,1295,A61,A72,3,female,A101,1,A123,25,A143,A151,1,A173,1,A191,A201,1,0,1,1,1,1,1,1
221,A11,12,A32,A46,1200,A65,A73,4,female,A101,4,A122,23,A141,A151,1,A173,1,A192,A201,0,0,1,1,1,0,1,1
820,A14,12,A32,A40,1101,A61,A73,3,male,A101,2,A121,27,A143,A152,2,A173,1,A192,A201,0,0,0,0,0,0,0,0
296,A14,12,A32,A41,4675,A65,A72,1,female,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,0,0,0,0,0,0,0,0
54,A12,36,A33,A40,2225,A61,A75,4,male,A101,4,A124,57,A141,A153,2,A173,1,A192,A201,1,1,1,0,1,1,1,0
542,A11,30,A32,A42,6350,A65,A75,4,male,A101,4,A122,31,A143,A152,1,A173,1,A191,A201,1,0,0,0,1,0,0,0
209,A14,12,A32,A41,1413,A64,A74,3,male,A101,2,A122,55,A143,A152,1,A173,1,A191,A202,0,0,0,0,0,0,0,0
604,A13,10,A32,A42,1275,A61,A72,4,female,A101,2,A122,23,A143,A152,1,A173,1,A191,A201,0,1,0,0,1,0,0,1
692,A12,24,A32,A43,2896,A62,A72,2,male,A101,1,A123,29,A143,A152,1,A173,1,A191,A201,0,0,0,0,0,0,0,0
662,A14,21,A32,A42,2241,A61,A75,4,male,A101,2,A121,50,A143,A152,2,A173,1,A191,A201,0,0,0,0,0,0,0,0
866,A11,18,A32,A43,2389,A61,A72,4,female,A101,1,A123,27,A142,A152,1,A173,1,A191,A201,0,1,0,0,1,0,1,1
70,A14,36,A32,A41,8133,A61,A73,1,female,A101,2,A122,30,A141,A152,1,A173,1,A191,A201,0,0,0,0,0,0,0,0
543,A13,18,A32,A42,2864,A61,A73,2,male,A101,1,A121,34,A143,A152,1,A172,2,A191,A201,1,0,0,0,0,0,0,0
107,A12,12,A32,A40,6078,A61,A74,2,male,A101,2,A123,32,A143,A152,1,A173,1,A191,A201,0,0,0,0,1,0,1,0
493,A12,6,A32,A43,368,A65,A75,4,male,A101,4,A122,38,A143,A152,1,A173,1,A191,A201,0,1,0,0,0,0,0,0
590,A11,12,A34,A43,385,A61,A74,4,female,A101,3,A121,58,A143,A152,4,A172,1,A192,A201,0,0,0,0,0,0,0,0
741,A12,10,A31,A43,1048,A61,A73,4,male,A101,4,A121,23,A142,A152,1,A172,1,A191,A201,0,1,0,0,1,0,1,0
292,A11,24,A34,A41,6419,A61,A75,2,female,A101,4,A124,44,A143,A153,2,A174,2,A192,A201,0,0,0,0,0,0,1,0
289,A11,24,A33,A43,1024,A61,A72,4,male,A101,4,A121,48,A142,A152,1,A173,1,A191,A201,1,1,1,0,1,1,1,0
652,A11,24,A32,A40,2303,A61,A75,4,male,A102,1,A121,45,A143,A152,1,A173,1,A191,A201,1,1,0,0,0,1,1,1
39,A12,9,A32,A43,458,A61,A73,4,male,A101,3,A121,24,A143,A152,1,A173,1,A191,A201,0,0,0,0,0,0,0,0
589,A11,12,A34,A42,2246,A61,A75,3,male,A101,3,A122,60,A143,A152,2,A173,1,A191,A201,1,0,0,0,0,0,0,0
307,A11,12,A32,A43,727,A62,A72,4,male,A101,3,A124,33,A143,A152,1,A172,1,A192,A201,1,0,1,0,1,0,1,1
679,A14,18,A32,A43,1453,A61,A72,3,female,A101,1,A121,26,A143,A152,1,A173,1,A191,A201,0,0,0,0,0,0,0,0
66,A14,12,A32,A43,2171,A61,A72,2,female,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,0,0,0,0,0,0,0,0
275,A14,9,A32,A43,2697,A61,A73,1,male,A101,2,A121,32,A143,A152,1,A173,2,A191,A201,0,0,0,0,0,0,0,0
67,A12,12,A32,A40,1007,A64,A73,4,male,A101,1,A121,22,A143,A152,1,A173,1,A191,A201,0,0,0,0,1,0,0,0
318,A14,12,A34,A46,701,A61,A73,4,male,A101,2,A123,32,A143,A152,2,A173,1,A191,A201,0,0,0,0,0,0,1,0
548,A11,12,A31,A43,626,A61,A73,4,female,A101,4,A121,24,A141,A152,1,A172,1,A191,A201,1,0,0,1,0,0,1,0
998,A11,45,A32,A43,1845,A61,A73,4,male,A101,4,A124,23,A143,A153,1,A173,1,A192,A201,1,0,1,1,1,1,1,1
714,A12,60,A32,A40,14027,A61,A74,4,male,A101,2,A124,27,A143,A152,1,A174,1,A192,A201,1,1,1,1,1,0,1,1
753,A14,30,A34,A43,5771,A61,A74,4,female,A101,2,A123,25,A143,A152,2,A173,1,A191,A201,0,0,0,0,0,0,0,0
327,A14,24,A32,A40,1525,A64,A74,4,female,A101,3,A123,34,A143,A152,1,A173,2,A192,A201,0,0,0,0,0,0,0,0
382,A14,22,A32,A40,1283,A65,A74,4,female,A101,4,A122,25,A143,A151,1,A173,1,A191,A201,0,1,0,0,1,1,0,1
451,A14,6,A32,A43,518,A61,A73,3,female,A101,1,A121,29,A143,A152,1,A173,1,A191,A201,0,0,0,0,0,0,0,0
522,A11,48,A30,A42,7119,A61,A73,3,male,A101,4,A124,53,A143,A153,2,A173,2,A191,A201,1,1,1,1,1,1,1,1
218,A11,24,A32,A42,3021,A61,A73,2,male,A101,2,A121,24,A143,A151,1,A172,1,A191,A201,0,1,1,0,1,0,1,1
787,A14,48,A34,A41,2751,A65,A75,4,male,A101,3,A123,38,A143,A152,2,A173,2,A192,A201,0,0,0,0,0,0,0,0
436,A14,6,A32,A45,660,A63,A74,2,male,A101,4,A121,23,A143,A151,1,A172,1,A191,A201,0,0,0,0,0,0,0,0
764,A14,24,A34,A40,2463,A62,A74,4,male,A101,3,A122,27,A143,A152,2,A173,1,A192,A201,0,0,0,0,0,0,0,0
88,A11,18,A32,A40,2249,A62,A74,4,male,A101,3,A123,30,A143,A152,1,A174,2,A192,A201,0,1,0,0,0,0,1,0
63,A12,48,A30,A49,14421,A61,A73,2,male,A101,2,A123,25,A143,A152,1,A173,1,A192,A201,1,1,1,1,1,1,1,1
826,A11,18,A34,A40,3966,A61,A75,1,female,A101,4,A121,33,A141,A151,3,A173,1,A192,A201,1,0,0,0,1,0,1,0
716,A14,30,A34,A43,3077,A65,A75,3,male,A101,2,A123,40,A143,A152,2,A173,2,A192,A201,0,0,0,0,0,0,0,0
351,A12,9,A32,A42,959,A61,A73,1,female,A101,2,A123,29,A143,A152,1,A173,1,A191,A202,1,0,0,0,0,0,0,0
936,A13,9,A32,A43,745,A61,A73,3,female,A101,2,A121,28,A143,A152,1,A172,1,A191,A201,1,0,0,0,0,0,0,0
256,A14,24,A34,A43,2684,A61,A73,4,male,A101,2,A121,35,A143,A152,2,A172,1,A191,A201,0,0,0,0,0,0,0,0
635,A14,12,A32,A46,1393,A61,A75,4,male,A101,4,A122,47,A141,A152,3,A173,2,A192,A201,0,0,0,0,0,0,1,0
644,A11,18,A34,A43,1880,A61,A74,4,male,A101,1,A122,32,A143,A152,2,A174,1,A192,A201,0,1,0,0,0,0,0,0
554,A12,9,A32,A46,1199,A61,A74,4,female,A101,4,A122,67,A143,A152,2,A174,1,A192,A201,0,0,0,0,1,0,1,1
959,A12,24,A32,A42,3069,A62,A75,4,male,A101,4,A124,30,A143,A153,1,A173,1,A191,A201,0,0,0,0,0,0,1,0
168,A14,24,A32,A42,3972,A61,A74,2,female,A101,4,A122,25,A143,A151,1,A173,1,A192,A201,0,0,0,0,0,0,0,0
917,A11,6,A32,A40,14896,A61,A75,1,male,A101,4,A124,68,A141,A152,1,A174,1,A192,A201,1,0,1,1,1,1,1,1
528,A11,36,A32,A43,2302,A61,A73,4,male,A101,4,A123,31,A143,A151,1,A173,1,A191,A201,1,1,1,1,1,0,1,1
823,A11,8,A34,A40,731,A61,A75,4,male,A101,4,A121,47,A143,A152,2,A172,1,A191,A201,0,0,0,0,0,0,0,0
985,A11,15,A34,A42,1433,A61,A73,4,female,A101,3,A122,25,A143,A151,2,A173,1,A191,A201,0,0,0,0,1,0,1,0
816,A14,6,A32,A44,1338,A63,A73,1,male,A101,4,A121,62,A143,A152,1,A173,1,A191,A201,0,0,0,0,0,0,1,0
86,A12,18,A34,A42,1295,A61,A72,4,female,A101,1,A122,27,A143,A152,2,A173,1,A191,A201,0,0,0,0,1,0,0,0
432,A11,6,A34,A42,1872,A61,A71,4,male,A101,4,A124,36,A143,A153,3,A174,1,A192,A201,0,0,0,0,0,0,1,0
184,A12,18,A34,A40,884,A61,A75,4,male,A101,4,A123,36,A141,A152,1,A173,2,A192,A201,1,1,0,0,0,0,0,1
978,A14,24,A33,A40,2538,A61,A75,4,male,A101,4,A123,47,A143,A152,2,A172,2,A191,A201,1,0,0,0,0,0,0,0
534,A14,24,A32,A43,3105,A65,A72,4,male,A101,2,A123,25,A143,A152,2,A173,1,A191,A201,0,0,0,0,0,0,0,0
294,A14,48,A34,A49,7629,A65,A75,4,male,A101,2,A123,46,A141,A152,2,A174,2,A191,A201,0,1,0,0,0,0,1,0
892,A11,12,A34,A40,2171,A61,A73,4,male,A101,4,A122,38,A141,A152,2,A172,1,A191,A202,0,0,0,0,0,1,0,0
425,A12,18,A32,A41,2779,A61,A73,1,male,A101,3,A123,21,A143,A151,1,A173,1,A192,A201,0,0,1,0,0,0,0,0
713,A11,9,A34,A43,1138,A61,A73,4,male,A101,4,A121,25,A143,A152,2,A172,1,A191,A201,0,1,0,0,0,0,0,0
260,A11,12,A32,A42,1657,A61,A73,2,male,A101,2,A121,27,A143,A152,1,A173,1,A191,A201,0,0,0,0,0,0,0,0
237,A12,21,A32,A49,2767,A62,A75,4,male,A101,2,A123,61,A141,A151,2,A172,1,A191,A201,1,0,0,0,1,0,1,0
559,A12,18,A34,A42,1928,A61,A72,2,male,A101,2,A121,31,A143,A152,2,A172,1,A191,A201,1,0,0,0,0,0,0,0
583,A12,36,A32,A45,2384,A61,A72,4,male,A101,1,A124,33,A143,A151,1,A172,1,A191,A201,1,0,1,1,1,0,1,0
445,A14,9,A34,A46,1244,A65,A75,4,female,A101,4,A122,41,A143,A151,2,A172,1,A191,A201,0,0,0,0,0,0,1,0
867,A14,12,A34,A42,3331,A61,A75,2,male,A101,4,A122,42,A142,A152,1,A173,1,A191,A201,0,1,0,0,0,0,0,0
800,A14,24,A34,A46,1597,A61,A75,4,male,A101,4,A124,54,A143,A153,2,A173,2,A191,A201,0,0,0,0,0,1,1,0
599,A14,24,A33,A49,3863,A61,A73,1,male,A101,2,A124,32,A143,A153,1,A173,1,A191,A201,0,0,0,0,0,0,1,0
849,A11,12,A32,A43,709,A61,A75,4,male,A101,4,A121,57,A142,A152,1,A172,1,A191,A201,1,0,0,0,0,0,1,0
265,A12,15,A32,A43,802,A61,A75,4,male,A101,3,A123,37,A143,A152,1,A173,2,A191,A201,1,0,0,0,0,0,0,0
995,A14,12,A32,A42,1736,A61,A74,3,female,A101,4,A121,31,A143,A152,1,A172,1,A191,A201,0,0,0,0,0,1,0,0
529,A11,6,A32,A40,662,A61,A72,3,male,A101,4,A121,41,A143,A152,1,A172,2,A192,A201,0,0,0,0,0,0,1,0
55,A14,6,A31,A40,783,A65,A73,1,male,A103,2,A121,26,A142,A152,1,A172,2,A191,A201,0,0,0,0,0,0,1,0
120,A11,21,A32,A43,1835,A61,A73,3,female,A101,2,A121,25,A143,A152,2,A173,1,A192,A201,1,0,0,0,0,0,0,1
215,A12,6,A34,A48,932,A65,A74,1,female,A101,3,A122,39,A143,A152,2,A172,1,A191,A201,0,0,0,0,0,0,0,0
25,A11,6,A32,A42,1374,A61,A73,1,male,A101,2,A121,36,A141,A152,1,A172,1,A192,A201,0,0,0,0,0,0,1,0
72,A11,8,A34,A410,1164,A61,A75,3,male,A101,4,A124,51,A141,A153,2,A174,2,A192,A201,0,0,0,0,1,1,1,0
44,A11,48,A34,A41,6143,A61,A75,4,female,A101,4,A124,58,A142,A153,2,A172,1,A191,A201,1,1,1,1,1,1,1,1
247,A14,6,A30,A40,1204,A62,A73,4,male,A101,1,A124,35,A141,A151,1,A173,1,A191,A202,0,1,0,0,0,0,0,0
721,A12,6,A31,A46,433,A64,A72,4,female,A101,2,A122,24,A141,A151,1,A173,2,A191,A201,1,1,1,1,0,1,1,1
281,A14,12,A32,A42,1574,A61,A73,4,male,A101,2,A121,50,A143,A152,1,A173,1,A191,A201,0,0,0,0,0,0,0,0
893,A12,36,A34,A41,5800,A61,A73,3,male,A101,4,A123,34,A143,A152,2,A173,1,A192,A201,0,0,0,0,0,0,0,0
914,A11,24,A31,A49,3161,A61,A73,4,male,A101,2,A122,31,A143,A151,1,A173,1,A192,A201,1,1,1,1,1,1,1,1
810,A12,8,A32,A49,907,A61,A72,3,male,A101,2,A121,26,A143,A152,1,A173,1,A192,A201,0,0,0,0,1,0,1,0
244,A14,12,A31,A48,3447,A63,A73,4,female,A101,3,A121,35,A143,A152,1,A172,2,A191,A201,0,0,0,0,0,0,0,0
822,A11,36,A32,A42,2712,A61,A75,2,male,A101,2,A122,41,A141,A152,1,A173,2,A191,A201,1,0,0,0,1,0,1,0
321,A11,24,A32,A43,1938,A61,A72,4,male,A101,3,A122,32,A143,A152,1,A173,1,A191,A201,1,0,1,1,1,0,1,1
643,A14,24,A34,A43,1851,A61,A74,4,male,A103,2,A123,33,A143,A152,2,A173,1,A192,A201,0,0,0,0,0,0,0,0
158,A12,24,A32,A40,3512,A62,A74,2,male,A101,3,A123,38,A141,A152,2,A173,1,A192,A201,0,1,0,0,0,0,1,0
977,A12,18,A33,A49,2427,A65,A75,4,male,A101,2,A122,42,A143,A152,2,A173,1,A191,A201,0,0,0,0,0,0,0,0
429,A11,18,A34,A45,1190,A61,A71,2,female,A101,4,A124,55,A143,A153,3,A171,2,A191,A201,1,0,0,0,0,0,1,0
941,A14,10,A32,A40,1546,A61,A73,3,male,A101,2,A121,31,A143,A152,1,A172,2,A191,A202,0,0,0,0,0,0,0,0
462,A12,12,A32,A42,3017,A61,A72,3,female,A101,1,A121,34,A143,A151,1,A174,1,A191,A201,0,0,0,0,0,0,1,0
309,A12,9,A32,A40,276,A61,A73,4,male,A101,4,A121,22,A143,A151,1,A172,1,A191,A201,0,0,0,1,0,1,1,0
697,A14,12,A34,A40,926,A61,A71,1,female,A101,2,A122,38,A143,A152,1,A171,1,A191,A201,0,0,0,0,0,0,0,0
60,A12,9,A32,A49,1391,A61,A73,2,male,A101,1,A121,27,A141,A152,1,A173,1,A192,A201,0,0,0,0,0,0,1,0
884,A12,24,A32,A42,4057,A61,A74,3,male,A101,3,A123,43,A143,A152,1,A173,1,A192,A201,1,0,0,0,0,0,1,0
595,A12,6,A31,A40,931,A62,A72,1,female,A101,1,A122,32,A142,A152,1,A172,1,A191,A201,1,1,1,0,1,0,1,0
767,A14,10,A32,A41,2901,A65,A72,1,female,A101,4,A121,31,A143,A151,1,A173,1,A191,A201,0,0,0,0,0,0,0,0
649,A11,12,A32,A46,684,A61,A73,4,male,A101,4,A123,40,A143,A151,1,A172,2,A191,A201,1,0,1,1,1,1,1,1
650,A11,48,A32,A46,7476,A61,A74,4,male,A101,1,A124,50,A143,A153,1,A174,1,A192,A201,0,1,1,1,1,0,1,1
865,A14,15,A32,A42,2221,A63,A73,2,female,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,0,0,0,0,0,0,0,0
668,A11,12,A34,A40,4843,A61,A75,3,male,A102,4,A122,43,A143,A151,2,A173,1,A192,A201,1,1,0,0,1,0,1,0
298,A14,18,A32,A42,2515,A61,A73,3,male,A101,4,A121,43,A143,A152,1,A173,1,A192,A201,0,0,0,0,0,0,0,0
689,A11,12,A32,A40,3651,A64,A73,1,male,A101,3,A122,31,A143,A152,1,A173,2,A191,A201,0,1,0,0,0,0,0,0
314,A13,4,A32,A40,1494,A65,A72,1,male,A101,2,A121,29,A143,A152,1,A172,2,A191,A202,0,0,0,0,0,0,0,0
310,A12,48,A32,A410,5381,A65,A71,3,male,A101,4,A124,40,A141,A153,1,A171,1,A192,A201,0,1,0,0,1,1,1,0
361,A13,12,A32,A43,3399,A65,A75,2,male,A101,3,A123,37,A143,A152,1,A174,1,A191,A201,0,0,0,0,0,0,0,0
479,A11,15,A34,A42,1478,A61,A75,4,male,A101,4,A123,44,A143,A152,2,A173,2,A192,A201,0,0,0,0,0,0,0,0
110,A12,6,A33,A49,1449,A62,A75,1,male,A101,2,A123,31,A141,A152,2,A173,2,A191,A201,0,0,0,0,0,0,1,0
989,A12,24,A34,A43,1743,A61,A75,4,male,A101,2,A122,48,A143,A152,2,A172,1,A191,A201,0,0,0,0,0,0,0,0
486,A14,12,A32,A43,3077,A61,A73,2,male,A101,4,A123,52,A143,A152,1,A173,1,A192,A201,0,0,0,0,0,0,0,0
363,A14,6,A32,A42,1766,A61,A73,1,male,A101,2,A122,21,A143,A151,1,A173,1,A191,A201,0,1,0,0,0,1,0,0
254,A12,9,A32,A42,2030,A65,A74,2,male,A101,1,A123,24,A143,A152,1,A173,1,A192,A201,0,1,0,0,0,0,0,0
259,A14,11,A34,A43,1154,A62,A71,4,female,A101,4,A121,57,A143,A152,3,A172,1,A191,A201,0,0,0,0,0,0,0,0
802,A11,20,A34,A42,4272,A61,A75,1,female,A101,4,A122,24,A143,A152,2,A173,1,A191,A201,0,0,0,0,1,0,0,0
677,A12,72,A32,A43,5595,A62,A73,2,male,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,1,0,0,0,0,1,1,1
494,A11,12,A34,A40,2122,A61,A73,3,male,A101,2,A121,39,A143,A151,2,A172,2,A191,A202,0,0,0,0,0,0,0,0
670,A14,24,A34,A49,4139,A62,A73,3,male,A101,3,A122,27,A143,A152,2,A172,1,A192,A201,0,0,0,0,0,0,0,0
377,A14,7,A33,A43,846,A65,A75,3,male,A101,4,A124,36,A143,A153,1,A173,1,A191,A201,0,0,0,0,0,0,0,0
526,A14,15,A34,A46,1532,A62,A73,4,female,A101,3,A123,31,A143,A152,1,A173,1,A191,A201,0,0,0,0,0,0,1,0
845,A12,21,A32,A42,3976,A65,A74,2,male,A101,3,A123,35,A143,A152,1,A173,1,A192,A201,0,0,0,0,0,0,0,0
137,A12,12,A32,A43,766,A63,A73,4,male,A101,3,A121,66,A143,A152,1,A172,1,A191,A201,1,0,0,0,0,0,0,0
355,A12,24,A32,A40,1246,A61,A72,4,male,A101,2,A121,23,A142,A152,1,A172,1,A191,A201,1,1,1,1,1,1,1,1
365,A14,12,A32,A49,1542,A61,A74,2,male,A101,4,A123,36,A143,A152,1,A173,1,A192,A201,0,0,0,0,0,0,0,0
942,A14,24,A32,A42,929,A65,A74,4,male,A101,2,A123,31,A142,A152,1,A173,1,A192,A201,0,0,0,0,0,0,0,0
749,A14,15,A32,A41,3029,A61,A74,2,male,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,0,0,0,0,0,0,0,0
948,A14,18,A32,A42,1533,A61,A72,4,male,A102,1,A122,43,A143,A152,1,A172,2,A191,A201,1,0,0,0,0,0,0,0
829,A12,48,A33,A49,6681,A65,A73,4,male,A101,4,A124,38,A143,A153,1,A173,2,A192,A201,0,1,0,0,1,0,1,0
656,A12,12,A32,A40,888,A61,A75,4,male,A101,4,A123,41,A141,A152,1,A172,2,A191,A201,1,0,0,0,1,0,1,1
